"","evol_pops","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","date"
"1","20_NP_01",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"2","20_NP_02",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"3","20_NP_03",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"4","20_NP_04",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"5","20_NP_05",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"6","20_NP_06",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"7","20_NP_07",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"8","20_NP_08",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"9","20_COP_01",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"10","20_COP_02",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"11","20_COP_03",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"12","20_COP_04",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"13","20_COP_05",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"14","20_COP_06",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"15","20_COP_07",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"16","20_COP_08",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"17","26_NP_01",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"18","26_NP_02",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"19","26_NP_03",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"20","26_NP_04",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"21","26_NP_05",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"22","26_NP_06",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"23","26_NP_07",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"24","26_NP_08",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"25","26_COP_01",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"26","26_COP_02",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"27","26_COP_03",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"28","26_COP_04",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"29","26_COP_05",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"30","26_COP_06",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"31","26_COP_07",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"32","26_COP_08",9485.51430755566,3030.74249088222,420.370736940224,89.1019836034133,167.262674198638,36.305043536347,69.7265277741891,14.3159914785961,2.44650236341319,0.561303790284537,0.0185,0.734,6261.76775,4779.6,269.812,17720.17625,1153.971,897.00675,8.77175,107.536,545.91875,2412.982,70.7045,2023-11-08
"33","20_COP_01",6202.96577895293,2053.75750606088,356.924040739398,73.6155870026439,143.95894909809,29.6057950209821,54.2479040067912,12.5857956477885,2.7136891025641,0.643307860070318,0.01,0.615,5482.875,4418,274.965,15356.82,1186.215,957.39,13.155,109.62,520.4,2595.785,110.81,2024-01-03
"34","20_COP_02",5288.37428571429,1961.46498500615,333.223240694626,88.1887350441939,135.037721316784,35.9918243711059,49.7774621359223,10.984612560861,2.78427684673442,0.764205818155286,-0.01,0.7,6239.425,5347,297.76,19181.39,1175.305,1418.785,8.15,200.855,530.5,2507.575,71.75,2024-01-03
"35","20_COP_03",7016.00603773584,2533.22496026544,387.404049056604,85.3049628066167,158.411954716981,33.6499971277195,56.123685,12.7296792735539,2.91932876712329,0.570077926373548,0,0.62,8108.35,6231,354.86,19045.74,1534.13,946.4,12.53,108.99,534.31,2539.99,110.22,2024-01-03
"36","20_COP_04",5482.9868429752,2925.11756090895,328.028248618342,97.8123790494983,129.632822885644,37.3016410584446,51.2002488822653,14.6105305793445,2.48583017982234,0.712124922262087,0.06,0.74,4244.38,2924.5,142.485,12785.75,704.39,1009.39,6.63,110.045,400.375,2368.835,56.35,2024-01-03
"37","20_COP_05",6893.424,2220.44981518668,382.958912195122,85.3257265965053,157.8388275,34.0438274217365,54.7886769230769,12.4540484710538,2.92996,0.701587745816135,0,0.68,7219.9,5128,347.97,15967.83,1301.76,826.97,9.36,95.1,526.94,2432.93,85.17,2024-01-03
"38","20_COP_06",5915.03186440678,1844.15836335169,349.00126779661,81.2636375010426,140.845728813559,35.0471296417838,53.1036,10.3756747575209,2.66903225806452,0.74082925948655,0.02,0.61,6909.22,5595,312.03,16017.48,1062.38,1411.54,8.68,167.7,488.22,2541.92,75.36,2024-01-03
"39","20_COP_07",6731.15408585056,2968.63434768303,369.349620522217,102.922846278346,150.811397892808,44.1973931928061,53.116515,14.6394399341221,2.87399068627451,0.790424109414084,0,0.78,6272.455,5067,416.38,16609.115,1356.7,1213.15,9.02,154.025,558.75,2718.1,74.065,2024-01-03
"40","20_COP_08",6850.88470588236,2612.23328186026,376.250744081632,91.6090135611373,151.471396056338,38.688679492512,59.7100312087912,13.4807167233723,2.69536318681318,0.655529045208965,0,0.73,4708.815,4039.5,275.875,14354.37,1075.15,881.47,10.47,107.965,510.3,2520.385,76.745,2024-01-03
"41","20_NP_01",6603.12,2095.14401103395,362.483057142857,81.2035011516571,144.533957142857,34.3137543076681,56.5626927272727,12.1586479207531,2.65297368421053,0.666056479682455,0.05,0.67,4345.5,2814,198.06,16169.89,927.2,927.99,11.63,113.63,497.47,2491.33,72.72,2024-01-03
"42","20_NP_02",6188.2118259371,2111.9426255363,357.97338005707,75.3516771076723,144.928738857365,32.3405600066116,52.1597774436091,12.2981974113323,2.75119173569277,0.689463258249036,0.01,0.635,5535.325,3136,237.7,19119.955,1293.36,833.77,9.2,92.135,561.52,2520.425,83.755,2024-01-03
"43","20_NP_03",7232.55910762737,1972.16286644819,384.146275007537,81.4290065993515,153.32555390413,36.373181418253,58.3076851776235,10.2718476778385,2.61440456282847,0.708036120861658,0.055,0.65,4667.605,3524,269.685,11886.635,792.205,847.88,7.185,110.805,391.9,1965.13,65.35,2024-01-03
"44","20_NP_04",7023.4407813045,1983.94217049923,384.49221243083,79.7699504919611,157.511476733436,37.781597591763,58.6376884098544,10.8470300745773,2.84959552459016,0.726354695501417,-0.03,0.63,6628.615,5070,280.175,14984.25,986.055,763.22,6.625,85.94,517.12,2199.73,58.01,2024-01-03
"45","20_NP_05",7692.78925434117,3006.52952359695,408.215208105939,91.1055582690786,167.123512987013,36.3345259605855,56.6300765008025,13.7480600551818,2.95170910184443,0.683468191187031,0.005,0.585,6397.52,4625.5,324.8,17446.045,1582.72,984.535,19.5,111.83,498.18,2562.955,154.665,2024-01-03
"46","20_NP_06",7047.18595809292,2584.89895859352,377.95065121777,77.0172729789475,152.144832006235,30.3348691418669,56.5157895246327,13.8886796184114,2.73243716953074,0.646554790753791,0.02,0.67,7422.48,6247,299.005,25555.56,1826.525,1204.55,47.27,145.465,441.375,2743.89,252.375,2024-01-03
"47","20_NP_07",6470.20534562212,2060.29666594517,377.427460244716,79.6564740216701,159.26434084625,35.6790586038383,51.3202210013219,10.369846884335,3.26237238848109,0.876028622604593,0.01,0.44,4661.17,4206.5,226.56,9727.335,789.04,940.96,9.27,109.085,348.925,2470.41,76.92,2024-01-03
"48","20_NP_08",7098.37714285714,2990.98440321229,391.644327272727,97.2524573714985,157.528665838509,40.77708088766,53.6667652173913,14.0544868147842,3.08715584415584,0.689943021950531,0.02,0.81,5815.4,5004,311.59,22659.74,1966.66,1209.84,50.95,147.73,418.44,2762.52,395.65,2024-01-03
"49","26_COP_01",6115.12615384616,2535.05816189484,349.94526870229,77.0099826221887,143.393372519084,31.3204510590086,52.4002864864865,12.4851573583467,2.76485984848485,0.593699483461022,0,0.55,5921.33,3972,230.41,20247.92,1404.58,774.88,13.59,90.01,449.48,2478.05,116.81,2024-01-03
"50","26_COP_02",6123.67308270676,2598.84330850436,365.748403759399,92.2900718349762,151.122609473684,35.3620886368924,49.6760902834009,12.2863932963956,3.13174903846154,0.718696201291442,0.005,0.81,6830.855,5192.5,325.53,24561.175,1694.495,1224.525,40.38,155.57,361.525,2546.27,329.145,2024-01-03
"51","26_COP_03",5583.82978723405,2544.22154348158,338.465668965517,100.413762083324,136.230181132075,39.6740631154863,48.9206482758621,12.621554188475,2.88640425531915,0.705613047615263,-0.01,1.03,4739.83,3151,236.97,17023.79,1447.28,1368.59,14.62,226.05,524.5,2261.71,104.47,2024-01-03
"52","26_COP_04",5463.86382566586,2290.18542886427,333.471789588378,95.7351860167485,138.750739322034,38.7703809456534,48.6307057627118,11.7809377878426,2.87784598378777,0.763617485832657,0.025,0.645,8027.29,5138,253.595,22464.45,1638.34,1988.73,10.5,319.42,569.81,2556.795,83.98,2024-01-03
